MBIID	rating_mean_cat1	rating_mean_cat2	rating_mean_cat3	rating_mean_cat4	rating_mean_cat5	rating_mean_cat6	rating_mean_cat7	rating_mean_cat8	rating_mean_cat9
B181664	0.889	-0.111	2.556	-0.556	2	-3	-3	1.778	-2
B181668	1	0.333	1.333	-0.111	1.667	-2.889	-1.889	1.889	-2.778
B181669	0.778	-0.222	2.667	-1.222	1.889	-2.889	-1.111	-1.778	-2.889
B181670	1.778	-0.667	0.667	-0.111	1	-2.667	-2	0.667	-1.778
B181671	0.778	0.222	1.333	-0.111	1.778	-2.667	-2.556	1.111	-2.222
B181674	1.444	1.333	2.444	-0.667	1.667	-2	-2	-0.444	-2.444
B181675	2.444	2.889	2.778	2.444	2.556	2.889	2.889	2.444	2.444
B181676	0.333	0.444	0.556	-0.556	0.778	-0.667	-0.444	1.667	-0.333
B181677	0.778	0.333	0.444	0	1.556	-2.444	-2.222	1.444	-2.556
B181678	0.667	-1.333	0.333	0	1.667	-2.444	-0.333	0.444	-2.778
B181681	0.556	-0.111	1.111	-0.556	1	-1.889	-1.111	-0.778	-1.778
B181683	-0.333	0.333	-0.111	-0.222	0.556	-2.111	-0.444	0.222	-1
B181689	1.111	0.667	2.444	-1.111	0.778	-3	-0.444	0.333	-1.111
B181690	0.222	0	0.444	0.111	1.333	0.333	1	0.778	-0.222
B181692	0	0.333	-0.333	-0.111	0.222	-0.333	0	0.111	-1.556
B181696	1.333	-1.111	1.333	-0.444	1.667	-3	-3	0.667	-2.667
B181703	0.556	1.778	3	1	2.778	-2	-2.667	1.444	-0.111
B181705	3	2	3	2.111	2.889	-3	-2.667	0.889	-1.333
B181706	0.444	-0.667	0.444	0	0	-2.667	-2.333	0	-2.889
B181713	0.111	1	2	-0.111	1.778	-2.667	-2.444	1.222	-2
B181715	1.111	0.111	2.889	-0.111	2	-3	-2.444	1.556	-2.556
B181716	0.556	-0.667	2.667	-1.333	0.778	-3	-3	-0.111	2.556
B181720	-1.667	0.222	0.889	-1.111	2.333	-2.889	-1.889	0.444	-2.444
B181722	-0.778	-0.333	0.444	-1.333	1.222	-2.667	-0.111	0.667	-1.778
B181724	0.222	-0.444	0.222	-0.111	1.444	-2.778	-2.556	0.111	-3
B181725	1.778	0.889	0.556	-0.222	1.444	-2.778	-2.556	2.222	-3
B181726	0.556	0.556	0.556	0.444	0.556	0.333	0.556	1.111	0.444
B181727	0.444	-1.556	-0.111	-1.889	-0.222	-3	-3	0.556	-2.667
B181728	2.111	1	2.222	-0.333	1.667	-2.444	-1	0.889	0.444
B181729	1.889	0.444	1.333	0	1.889	-2	-0.667	-0.111	0.111
B181736	0.667	0.556	1.778	-0.111	1.889	-2.667	-2.667	0.778	-2.556
B181740	1.667	0.333	2.667	0	3	-3	-2.667	0.333	-3
B181746	2.778	2	3	0.444	2.667	-1.667	-1.444	3	0.222
B181753	1.778	-0.778	-1.444	-1.222	1.333	-3	-2.222	0.333	-2
B181754	1.222	-0.111	1.333	-0.222	1.333	-2.333	-1.222	-0.222	-1.444
B181760	2.333	3	3	1.667	3	-0.333	2.333	3	3
B181762	1.111	-0.333	1.889	-0.111	0.667	-2.556	-2.667	1.667	-1.778
B181764	0	0.556	1	0.333	1	-0.667	-0.333	0.556	-0.333
B181767	-0.667	1.333	-0.333	-2	1.222	-3	-2.667	1.444	-2.111
B181768	0.222	0.444	0.222	0	1	-1.111	-0.333	0.556	-1
B181775	0.667	0	1.556	-1	1.778	-2.778	-2.667	-0.556	-3
B181776	-0.222	0.778	1.889	-0.111	1.444	-2.889	-2.222	0.889	-2
B181777	2.444	1.222	1.889	-0.667	2	-2.778	-2.667	-1.667	-3
B181778	1.556	-0.333	1.444	0.667	1.889	-3	-1.111	-2.444	-1.444
B181780	1.778	0.889	2.333	0.333	2.778	-2.222	-2.444	1.111	-2
B181782	1.222	0.222	2.222	0.333	1.444	-2.333	-0.667	1.444	-1.444
B181783	1.111	-0.111	1.111	-0.333	0.778	-1.667	-0.778	0.556	-1.111
B181786	0.667	-0.111	0.778	0	1	-2.778	-2.444	0.556	-3
B181787	0.333	0.778	1.667	-0.778	2.111	-3	-3	1.444	-2.889
B181791	1.222	-0.444	1	-0.111	1.333	-2.444	-3	1.222	-1.778
B181792	-0.111	-0.333	0	-1	0	-2.333	-2.556	-0.556	-2.667
B181793	-0.556	1.222	0.556	0.222	1	-0.556	0	0.556	0.556
B181795	0.556	-0.222	1.778	0	2.444	-1.667	0.111	0.444	-1.333
B181796	1	1.111	1.222	0	2.778	-1.889	-1.889	1	-1.222
B181797	-0.333	-1.556	-1.111	-0.556	-0.333	-3	-1.889	-1.222	-2.222
B181798	0	0.333	1.667	0.444	2	-2	-1.222	0.333	-0.333
B181800	2.889	0.889	2.333	0.556	2.778	-3	-3	0.556	-2.444
B181802	2.444	2.111	2.556	0	3	-2.778	-0.667	1.667	-2.111
B181803	1	1	2.333	0.667	1.444	-1.667	0.222	1.111	-2.222
B181804	-0.111	-0.111	2.444	-0.778	0.778	-2.556	-1.111	-1.111	-1.667
B181805	2.889	0.778	2.556	0.444	1.889	-2.333	-0.444	-0.222	-1.222
B181806	0.222	0.667	0.889	-0.444	1.889	-3	-1.222	0.222	-3
B181807	1.667	1	2.667	-0.222	2.444	-2.333	-0.889	1.778	-2.444
B181812	1.333	0	1	-0.778	1.111	-1.333	0	0.889	0.444
B181813	-0.111	-0.889	1.778	-0.667	1.333	-3	-3	0.889	-3
B181814	0.667	-0.778	0.556	0	1.111	-1.222	-0.667	0.222	-0.889
B181815	0.889	0.667	-0.333	-0.333	2	-0.444	0	-0.333	-1.667
B181816	3	3	3	1.778	3	-2.111	0.444	1.333	-1.333
B181818	-0.778	-0.444	2.333	0	1.111	-2.222	-0.333	-2.667	-1.667
B181827	0.889	0.556	0.556	-2	0.556	-3	-3	-1.222	-3
B181830	1.667	2.444	2.556	0.444	3	-2.667	-2	1.556	-2.111
B181836	1.222	1.222	1.444	0.111	0.778	-2.556	-1.111	-1.889	-1.778
B181838	1.222	0.778	3	0.222	2.667	-2.889	-2.222	-1.667	-2.111
B181839	1.333	0.667	0.667	-0.444	1.667	-3	-2.889	-0.111	-2.889
B181843	1.444	1.444	2.333	0.111	2.444	-2.444	-1.778	2.778	-2.222
B181844	1	0.222	1.333	0.667	0.778	-1	-0.889	2.222	-0.333
B181849	0.889	0.667	2.222	0.333	2.556	-2.667	0.333	0.889	-2.778
B181850	1.444	0.889	1.889	0.222	1.889	-2.333	-0.889	-0.556	-1.111
B181853	0.111	0.111	1.222	-0.333	1.778	-2.333	-1.444	-0.111	-2.889
B181855	1	0.444	1.556	-0.222	1.778	-2.889	-2.333	0.444	-2.111
B181860	-2	-2	-2	-2.111	-2	-3	-2.778	-2	-3
B181862	0.889	0.222	1.778	-0.111	2.778	-2.556	-0.889	-2	-2.444
B181863	1.222	0	0.222	0	0.222	-2.222	-1.222	1.556	-1.444
B181865	-0.111	1.667	1.222	0	2.556	0.222	2.111	-1	-0.444
B181870	2.333	0.111	2.111	-0.444	2.444	-3	-2.556	1.667	-2.889
B181875	0.444	0.667	1	-0.111	1	-1.778	-0.556	0.778	-2.111
B181879	1.333	-0.222	1.556	-0.222	2	-3	-2.778	1.444	-2.778
B181883	0.556	1	0.778	-0.667	2.444	-3	-2.333	1.889	-3
B181885	1.333	1.778	2.222	0.778	2.778	-2	0	0.444	0.889
B181893	2.111	1.556	2.667	0	2.667	-3	-2.778	-0.889	-2.333
B181895	0.667	1.111	0.889	-0.222	2.111	-2.444	-1.444	0.333	-1.444
B181896	0	0	1.222	-0.222	1.556	-2.556	-1.444	-0.222	-1.444
B181911	1	1.111	2.111	0	2.222	-2.444	-1.778	1.889	-1.333
B181918	1.444	0.667	2.333	0.333	1.778	-1.889	-1.444	0.111	-2.222
B181920	0.333	0.889	1.667	0	1.111	-2	-0.556	1.333	-1.667
B181921	1.222	0.333	2.111	-0.222	1.778	-2.222	-0.556	-0.222	-3
B181931	1.556	0.222	2	-0.333	1.222	-1.778	-2	1	-1.889
B181932	0	0.444	0.333	-0.222	0.111	0.333	0.667	-1	0.667
B181942	2	-0.111	0.444	-0.444	1.889	-2.111	-0.889	0.222	-2.222
B181952	2.333	1.222	0.556	-0.111	2.778	-3	-2.333	1.556	-3
B181960	-0.111	-1	2.222	-0.556	2.444	-2.333	-2.667	-0.222	-2.556
B181961	1.333	-0.111	1.778	-0.444	1.333	-2.333	-1.778	-0.444	-2.333
B181965	1	0.667	0.889	0.667	1.111	1.333	0.889	0.333	0.778
B181970	0.444	-0.667	1.556	-0.333	1.889	-3	-3	-0.778	-2.667
B181974	1.556	2	1.889	1.778	1.444	1.667	1.778	1.889	1.889
B181976	0.556	0.111	1.778	-0.333	0.222	-1	-0.667	-0.444	2.444
B181977	1.667	1.556	1.667	-0.778	1.444	0.333	-0.444	1	1.333
B181981	0.889	0.667	1.667	0.111	2.333	-2.333	-2	1.333	-1.444
B181983	-0.333	1.333	2.556	-0.222	2.778	-3	-0.444	0.667	-3
B181984	0	1.333	1.111	0	1.111	-2.667	-2.667	0.333	-0.333
B181986	1.556	-0.778	1.667	0	1.333	-3	-2.889	0.444	-2.333
B181990	1.222	1	1.333	-0.111	2.333	-3	-1.889	1.333	-2.667
B181992	1.889	0.778	2.778	-0.222	2	-3	-2.667	1.667	-2.444
B181993	0.444	1.111	2.444	-0.222	1.889	-2	-1.111	-0.778	-2.556
B181994	1.667	-1.667	2.333	-2.889	2.333	-3	-3	-3	-3
B181998	1	-0.333	2.222	-0.444	2.556	-2.889	-2.889	1	-3
B182003	1.333	0.778	2.556	0	2	-2.556	-2.444	-0.222	-2.444
B182007	0.556	0.444	2.556	-0.111	2.111	-3	-2.778	2.333	-2.222
B182008	2.111	-2.889	1.333	-0.222	-0.444	-3	-2.889	-2.889	-3
B182014	-0.111	-1.444	2.333	0	2.667	-2.889	-0.667	0	-1.556
B182019	2.111	1.222	2.333	-0.111	2.556	-2.778	-2.889	-0.889	-1.556
B182022	0.444	-0.889	1.444	-0.444	1	-1.556	-2	0.111	-1.889
B182024	1.778	0.556	2.222	0	2.556	-1.556	-0.333	0.778	0.333
B182027	0.333	0.667	1.556	0.333	0.778	-0.222	0.556	1.111	0.444
B182028	0.444	0.111	0.778	0.111	1	-1.556	-0.889	0.556	-2.667
B182034	0	-0.333	2.333	-0.333	1	-3	-3	0.333	-3
B182036	1.222	0.111	1.889	0	2.111	-1.889	-1.778	-0.667	-1.778
B182038	1.444	-0.222	2.111	0.222	1.889	-3	-2.444	-0.111	-2.111
B182042	-0.222	-0.222	0.778	-0.556	1.556	-3	-2.444	1.444	-2.889
B182051	1.667	1.778	2.889	0.889	2.778	-3	-1.667	1.667	-2.222
B182053	1.778	1.778	2.333	1.333	2.889	-3	-0.556	1.556	-1.222
B182058	0.556	0.333	0.889	-1.111	1.222	-1.333	0.333	0.667	0.556
B182064	1.556	0.667	1.333	-0.111	1.444	-2	-1.667	0.778	-2.333
B182065	0.667	0.556	1.778	-0.111	1.778	-1.889	-1.222	0.444	-1.667
B182068	0.111	-0.111	1.333	0	0.111	-0.222	0	0.889	-1.222
B182070	1.444	1	2.556	-0.556	1.667	-2.889	-3	1.111	-2
B182071	2.333	0.444	1.333	-0.111	2.556	-2.778	-2.333	0.222	-2
B182073	1.444	1.222	2.222	-0.333	2.333	-2.667	-2.778	2.444	-3
B182074	1.556	0.889	2.333	1.667	2.333	0.111	1.556	2.556	1.444
B182077	1	0.111	2	-0.444	2.556	-3	-2.889	-1.667	-2.667
B182084	0.778	1.333	1.889	1	2	-0.667	0.222	0.667	-0.222
B182086	2.667	1.556	2.778	-0.889	3	-3	-1.444	0.889	-0.778
B182090	-0.889	-0.778	0.556	-1.111	0.778	-2.556	-1.333	-1.556	-1.778
B182091	1.667	0.889	2.667	0.222	2.222	-3	-0.333	-1.778	-2.111
B182094	0	0.556	1.889	-1.222	0.333	-2.778	-2.444	1.889	-2.667
B182096	1.556	0.222	1.556	-0.556	1.556	-2.667	-2.222	1.111	-2
B182097	1.667	0.222	2.111	0.222	1.222	-2.889	-2.444	-0.556	-2.222
B182103	0.667	-0.333	0.333	-0.333	0.667	-1.556	-1.222	-1.444	-1.889
B182104	1.444	0	0	-0.222	1.889	-2.222	-1.889	1.111	-1.667
B182105	1.111	0.444	0.889	0	1.667	-3	-2.667	1.444	-2.778
B182108	-0.222	1	2.111	-0.222	2.333	-3	-1.889	-1.778	-2.444
B182109	2.333	1.444	2.333	-0.222	2	-2.444	-2	2.222	-2
B182111	1	0.778	0.778	0.333	2.222	-2.556	-2.111	-0.889	-3
B182112	1.667	2	2	-0.222	2.889	-2.889	-1.667	-1.889	-2.444
B182114	1.778	1.111	2.778	0.222	2.778	-2.667	-0.667	0.667	-1.222
B182118	3	1.667	2.111	0.889	2.556	-2.889	-1.667	0.444	-0.778
B182119	0.444	-3	-1	-2.778	-1.778	-3	-2.333	-0.667	-3
B182125	1.333	1.333	3	-0.333	3	-3	-2.333	-0.667	-3
B182128	0.889	-0.111	0.667	-0.111	1.667	-2.889	-1.667	-0.778	-2.889
B182138	0.889	0.111	0.778	0	1	-2.556	-2.889	0.444	-1
B182140	0.444	0.667	1.778	-0.111	1.889	-2.556	-2.333	0.333	-1.333
B182145	1.778	1.333	2.556	1.778	2.444	-1.111	-1.111	0.556	-0.444
B182150	2.333	1.667	1.444	-0.222	2.111	-2.778	-2.667	1.778	-2.111
B182151	0.444	-0.667	0.667	-0.444	0.889	-2.333	-1.333	-1.222	-2.444
B182152	0.778	1.222	1.667	-0.333	2.556	-0.556	-0.556	1.889	1.222
B182153	0.778	1	1.222	0.556	1.111	0.333	1.333	0.222	0.667
B182160	1.778	1.556	2.556	-0.111	2.778	-2.556	-0.667	1	0.556
B182163	2	0.556	3	-1	2.333	-3	-1.444	0.333	1.111
B182169	1.111	0	2.889	0	1.889	-2	-1.889	0.556	-2.333
B182170	1.444	0.778	0.889	-0.111	1.667	-2.444	-1.889	1.556	-2.333
B182171	1	0.889	2.778	-0.111	2.556	-2.889	-1.889	0.444	-0.667
B182176	0.333	0.667	1.222	0.111	2.111	-1.444	0.333	0.333	-0.667
B182180	2.111	1	3	-0.444	3	-3	-3	0.222	-2.889
B182181	0	0.889	2	0.333	2	0	0.778	1.667	0.222
B182182	0.889	-2.667	0.111	-0.778	1.444	-2.556	-2.333	0.556	-2.889
B182183	2.111	1.444	1.889	0.778	2.556	-2.667	-2.556	2.444	-2.444
B182187	2.778	1.889	2.111	0.556	2.778	-2.333	-2.333	2.333	-2.333
B182188	2.778	0.889	2.889	0.333	2.778	-3	-2.667	-0.889	-2.778
B182190	0.889	0.667	1.667	-0.444	1.222	-2.556	-2.222	-2.889	-1.667
B182192	1.444	-0.111	2.111	-0.333	2.222	-2.444	-1.222	-0.111	-2.778
B182198	1	1.333	0.333	0.333	0.667	0.333	0.667	1.333	1
B182201	0	-1.222	1.889	-0.444	1.778	-2.222	-0.556	-0.556	-0.889
B182207	1.222	0.333	2.111	-1	1.778	-3	0	0	-2.444
B182218	-0.333	-0.444	0.889	-0.333	1.889	-2.778	-1.333	0.889	-2.222
B182227	0.778	0.889	1.778	1	1.111	0.222	0.556	1.222	1.222
B182230	2.556	0.889	2.889	-0.667	3	-2.889	-2.333	2	-2.444
B182231	2.778	2.222	2.778	1.111	3	-3	-3	1.333	-2.889
B182233	0.889	0.778	1	-1	0.778	-1.333	-0.111	0.556	1.778
B182246	1	0.111	0	0	0.222	-2.333	-0.222	0.556	-0.333
B182248	2.778	3	2.667	1.889	3	0	2.111	3	3
B182249	1	0.889	2	0.111	1.889	-2.111	-1	0.778	-0.111
B182250	1	0	3	0	2.556	-2.889	-2.667	-0.333	-1
B182253	1.222	0	1.111	0	1.333	-2.667	-1.333	1.333	-0.667
B182254	2.667	-0.444	2.667	0.111	1.667	-2.889	-2.222	0.444	-2.444
B182255	1.333	-0.444	1.444	-0.556	1.444	-2.556	-1.889	-0.111	-2.333
B182258	1.111	0.778	0.889	1	3	-2.889	-1.556	-0.333	-2.778
B182259	2.333	2	2.556	0.222	2.444	-2.778	-2.889	1.667	-2.889
B182260	0	0.444	2.667	-1.111	1.889	-2.778	0.333	-0.111	-2.111
B182261	-0.889	0.111	2.444	-1.444	1.667	-3	-1.556	0.444	-2.889
B182269	0.667	-0.667	2.444	-0.222	1.444	-2.667	-2.444	-0.333	-3
B182273	1.444	1.111	1.333	-0.667	1.111	-2.333	-1.111	1.889	-1.778
B182277	2	1.889	2.444	0.889	2.667	-3	-2.222	2.556	-2.778
B182280	0.222	0.222	2	0	1.111	-2.333	-2.556	0.889	-2
B182282	0.889	0.778	2.222	-0.222	1.222	-0.667	0.333	0.778	0.333
B182284	1.556	0.889	2.889	0	1.889	-2.556	-2.556	0.222	-2.111
B182287	0	-0.333	0	-0.333	-0.111	-1.556	0.333	-0.667	0
B182288	1.111	-0.111	0.556	0.111	0.889	-1.889	-1.889	0.667	-2.444
B182289	0.222	1.222	0.667	0.222	0.778	-2.111	0.222	0.889	0
B182291	2.111	1	0.889	-0.556	2	-3	-2.333	-0.111	-2.889
B182294	1	2.111	2.556	0.667	2.444	-3	-1.111	1.667	-1.667
B182301	1.222	2.333	2.556	-0.333	3	-3	-2.889	0.222	-2.778
B182308	-0.667	0.778	1	-1.444	2.556	-2.556	-3	-0.444	-3
B182309	2	-0.444	2.556	0.111	2.889	-2.889	-2.778	1.667	-2.667
B182310	0	0	0.222	0	0.222	-2.333	0	0.333	0
B182313	0.444	0.222	1	0.333	0.556	-1.333	-1	0.778	-1.444
B182317	-2.778	-2	-0.556	-2.222	0.778	-3	-2.556	0.556	-2.111
B182320	2.556	0	2.556	-0.444	2.444	-3	-2.222	-1.444	-3
B182322	1.889	1.222	2.778	-0.556	2.111	-2.556	-1.889	1.333	-2.778
B182330	1.667	-0.778	1.667	0	1.667	-2.778	-1.556	1.667	-2.111
B182332	0	0	0.667	0	0.111	-2.111	-1.222	-0.111	-0.778
B182335	0.778	-0.667	0.778	-0.333	1.778	-3	-1.889	1.333	-2.222
B182337	0	-0.111	1.333	-0.444	1.889	-2.444	-2.222	-0.222	-2.222
B182340	0	-0.111	-0.222	-0.667	1	-2.444	-1.333	0.111	-2.111
B182342	0.333	-0.111	0.556	-0.667	0	-1.333	-0.556	-0.556	-1.889
B182344	1.333	-0.222	2.667	0.111	2.222	-3	-2.333	0.778	-1.889
B182347	-0.111	0.222	-2.889	-1.222	1.333	-2.556	-1.778	-0.778	-2.889
B182348	-0.333	-0.333	-1.222	-0.778	-0.333	-0.556	-0.444	-0.889	-0.778
B182357	-0.778	0.556	1.444	-1	1.556	-1.667	-1.667	0.333	-2.111
B182362	0.778	0.556	1.222	-1	1.556	-2.556	-1.667	0.667	-1.889
B182366	0.778	0.111	1.667	-0.333	0.778	-2	-0.667	-1	-2.111
B182367	0.889	0.333	1	-0.111	1.444	-2.889	-2.889	1.667	-2.889
B182374	-0.111	-0.556	1	-0.111	0.778	-2.778	1.111	-0.333	0.667
B182381	0.222	-0.333	1.778	-0.111	1.222	-2.778	-1.667	0.222	-2
B182388	0.889	0.222	0	-0.111	1.556	-2	-1.556	1.556	-2.889
B182393	0.667	0.556	0.778	-0.333	1	-2	-1.111	0	-2
B182396	0.778	-0.556	-0.222	-0.222	1.667	-3	-3	1.667	-3
B182407	2.111	1.111	2	0.111	2.333	-2.556	-0.444	1.111	0
B182415	-1.556	-2.333	0.333	-2.222	-1	-3	-3	-1.222	-2.556
B182416	0.889	0.556	2.667	0.333	2.444	-2.333	0.111	0	0.444
B182420	2	1.333	2.667	0.333	1.778	-2.667	-2.222	0.556	-1.667
B182424	0.222	0.667	2.111	-0.111	2.222	-2.444	-2.667	0.444	-2.889
B182431	0.889	1.222	0.444	-0.556	1.444	-3	-2.444	1.444	-2.222
B182433	1.111	0.889	1.333	-0.556	1.111	-1.111	-1.222	1.111	-1
B182435	2.444	-0.222	2.667	0	2.333	-3	-2.222	-1.556	-1.222
B182439	1.778	0.333	1.444	-0.111	1.333	-3	-2.667	1.667	-2.889
B182447	-0.111	-0.333	-1.222	-0.111	1.222	-3	-2.667	-0.444	-3
B182448	0.667	1.444	1.778	-0.111	1.667	0.222	1.222	1.222	1.444
B182449	0.889	0.222	0.889	0.111	2.556	-2.556	-1.889	0	-2.333
B182450	0.556	0.444	2	0	1.556	-2.556	-1.556	1.667	-2.222
B182455	0.556	0.222	1.556	-0.111	2.333	-2.667	-1.778	0.444	-2
B182456	0.667	-0.556	0.889	0.333	1.778	-3	-3	0.667	-2.444
B182457	0.222	-0.556	2	-0.111	1.111	-1.556	-1	0.556	-2
B182460	1.889	1	2.778	0.111	2.778	-2.333	-1.444	1.444	-1.333
B182463	0.333	-0.556	1.667	-0.111	2.111	-2.778	-0.333	-1.667	-1
B182464	2.222	-0.222	2.778	-0.111	1.444	-2.889	-2.556	0.889	-1.556
B182465	0.778	0.556	1.556	0	1.667	-0.444	0.333	0.556	-0.889
B182467	1.444	0.444	1.111	-0.111	1.333	-2.778	-2.556	0.889	-1.889
B182468	1.222	0.111	1.667	0.111	1.667	-2.222	-1.889	1.111	-1.111
B182469	-0.222	-0.556	-0.556	-0.778	0	-2.333	-2.667	-0.444	-2.556
B182473	0.556	-1.333	0.556	0.111	1	-1.333	-2.111	0.111	-1.889
B182474	1.333	0.667	1.556	-0.778	0.778	-3	-2.889	-0.222	-2.222
B182475	2.111	1.667	3	0.889	2.667	-2.667	1.111	0.556	-0.333
B182476	1	0.667	1.556	-0.111	1.333	-1.889	-1.333	1	-1
B182477	-2.667	-1.667	-2.778	-1.222	-2.333	0	0	-1.667	0
B182480	1.111	-0.889	1	-0.222	1.333	-3	-1.667	0	-3
B182481	2.778	1.667	2.778	0.556	3	-3	-1.778	1	-2.556
B182483	1	1.222	2.333	0.778	3	-1.333	-0.889	1.667	-1.556
B182487	0.556	1.111	2.778	0.222	2	-1.778	-0.444	0.778	-1.556
B182490	1.444	2	0.444	-0.111	1.778	-1.444	0.111	1.333	-1.444
B182500	1.889	-1.333	1.889	-0.667	0.556	-2.889	-3	1.111	-2.778
B182502	0.889	0.667	1.667	0	1.444	-1.889	-1.556	0.889	-1.778
B182503	0.889	0.111	2.111	-0.778	1.333	-3	-2.889	0.333	-2.667
B182508	0	-0.333	0.667	-0.333	1.667	-1.667	0	-0.333	-0.889
B182514	1.222	1	2.333	0.333	1.889	-2	-1.333	-0.556	-2.222
B182516	0.333	0.889	1.889	-0.889	2	-3	-3	0	-3
B182519	2.222	0.444	2.111	-0.111	2.667	-2.667	-2.444	0.889	-2.667
B182522	1.889	1.778	2	1.333	1.889	1.444	1.556	1.556	1.444
B182525	0.556	1.222	2.111	0.778	1.556	-1	-1.222	1.222	1
B182526	2	1.333	2.556	0.111	2.222	-3	-3	1.556	-2.556
B182530	1.556	-0.889	1.778	-0.444	1.889	-2.889	-2	-3	-2.111
B182534	-0.333	-0.667	0	-0.333	0	-2.778	-1.778	-0.111	-2
B182536	1.444	0.333	1.778	-0.667	2	-2.889	-1.889	0.111	-2.556
B182539	2	-0.556	0.222	-0.222	0.444	-2.667	-2.222	-0.333	-3
B182545	2.556	1.556	2.889	0.444	2.778	-0.222	0.222	2	0.222
B182546	1.111	1.111	2.667	-0.333	2.333	-2.333	-0.889	-0.889	-1.444
B182554	2	0.889	1	-0.222	1.667	-2.444	-1.778	-2	-1.667
B182555	1.444	-0.667	0.667	-0.111	1.556	-2.222	-2.333	0.667	-1.778
B182557	0.222	0	2.556	-0.222	2.111	-3	-1.333	1.111	-3
B182563	0.778	-0.111	1.333	-0.333	1.889	-2.222	-1.556	0.778	-2.667
B182564	-1.222	-0.444	2.778	-0.111	0.778	-2.556	-1	0.556	-0.778
B182570	0	-0.333	1.111	-0.111	2.333	-2.889	-1.667	-3	-2.667
B182575	-0.778	0.111	2.778	-2.111	2.667	-3	-2.778	-2.667	-2.111
B182576	1.444	0	1.889	-0.222	1.444	-2.778	-2.667	1.444	-2.444
B182579	2.778	2.444	2.778	0.333	2.889	-3	-1	2	-2.111
B182586	2.222	2	2.333	1	2.222	-2.222	0	0.333	3
B182601	1	0.111	1.778	-0.667	2.444	-2.556	-2.444	1.111	-2.333
B182609	0.667	0.222	0.333	-1	1.333	-1.556	-1.778	0.444	-1.778
B182610	2.889	1.667	2.667	-0.111	2.889	-2.889	-1.667	0.222	-2.556
B182628	1.222	-0.444	1.667	0	0.889	-3	-1.889	1.667	-1.333
B182629	0.333	1.667	2.333	0.333	2.333	-3	-3	2.333	-0.333
B182630	0.333	0.778	2.333	-0.222	2.667	-3	-2.444	-0.667	-2.222
B182631	2	0.889	2.222	1	2.333	-2.222	-2.444	0.444	-1.222
B182637	0	-1	0.222	-0.222	0.889	-2.556	-0.556	-0.778	-1.444
B182640	1.778	1.667	2	-0.111	1.778	-2.778	-2.667	1.444	-2.667
B182653	2.111	0.444	0.667	0	0.667	0.333	0.889	1	0.889
B182657	1.556	1	0.778	-0.111	1.333	-1.222	-1	0.444	-1.222
B182660	0.889	-0.111	0.222	-0.111	0.667	-1.222	-1.556	0.333	-1
B182661	2.111	1.111	2.667	1.333	2.556	0	0.111	2.222	0
B182666	1	0	1.444	-0.222	1.889	-3	-2.333	-1.111	-2.111
B182668	0.667	0.333	1.667	0.333	1.667	-1	0	0.333	0.556
B182670	0.111	1.556	2.556	-0.111	2.889	-1.111	0.333	1.444	-1.111
B182676	2.111	1.222	1.778	0.333	1.556	-3	-2	1.556	-2.333
B182679	1.667	0.333	2.556	-0.111	1.778	-3	-2.111	1.222	-2.111
B182684	1.222	0.222	0.667	0.111	2.222	-2.333	-2	0.444	-2.556
B182694	0.778	0.333	0.889	-0.333	1.889	-2.222	-0.889	0.667	-1.222
B182695	2.111	2.222	2.444	0.778	2.778	-1.333	1.333	1.667	2
B182698	0.333	0.111	1.111	0	1.111	-1.889	-0.778	-1.111	-1.556
B182702	-0.444	-0.444	0.444	-1.111	0.444	-3	-2.111	-2.778	-1.889
B182705	1.444	0.111	1.778	-0.222	1.111	-1.778	-1.333	0.111	0.222
B182709	2.222	2	2.111	2.111	2.222	1.556	2.111	2.444	1.222
B182710	1	-0.111	1.333	0	1.222	-2.556	-1.556	0	-2.222
B182712	0.667	1	1.667	0.111	1.889	-1.222	-0.667	1.111	-0.444
B182716	0.889	-0.444	0.556	0	1.444	-1.111	-1.444	-1.667	-2.333
B182723	2.111	0.333	0	-0.222	1.778	-3	-1.778	1.111	-3
B182725	1.667	2.222	2.778	0.111	2.778	-2.889	-2.889	0.444	-1.444
B182737	1	-0.778	2	-0.222	1	-2.111	-2	0.111	-2.222
B182738	0.667	0.111	0.778	0.111	0.444	-1.889	-0.111	1.556	0
B182739	-0.111	1.111	0.667	0	1.889	-3	-1.778	0.444	-1.444
B182761	2.889	1.889	2.556	0.444	2.444	-1.778	-2	2.111	-3
B182763	2.889	2	2.889	0.333	1.889	-3	-3	1.667	-3
B182764	0.889	1	1.444	0	1.556	-2.667	-1.778	-0.222	-0.444
B182766	0.556	1	2.667	0.111	2.889	-3	-2.556	0.333	-2.222
B182769	0	-0.222	0.556	0	0	-1.333	-1	0.556	-0.444
B182781	1.444	0.222	0.889	-0.222	2	-2.333	-2.444	1.556	-2.667
B182787	0.667	1.222	1.667	0.111	2.444	-2.889	-3	1.778	-3
B182789	1.111	1	1	-0.111	1.333	-0.889	-0.444	1.778	-1
B182790	1.111	0.556	0	-0.444	1.556	-2.333	-2.111	1	-1.667
B182793	1.111	0.889	1.222	-0.444	0.889	-2.667	-2.111	1.444	-2.556
B182795	0.889	0.444	-0.222	0.222	0.111	-0.556	-0.111	0.778	-0.778
B182801	1.667	-0.111	1.333	0.222	1.889	-2.667	-1.778	1.222	-2.444
