Project	Respondent_ID  ID	GRPRT_img1050_PRT  {#IMG_1050} :	GRPRT_img1120_PRT  {#IMG_1120} :	GRPRT_img1300_PRT  {#IMG_1300} :	GRPRT_img1301_PRT  {#IMG_1301} :	GRPRT_img1321_PRT  {#IMG_1321} :	GRPRT_img1440_PRT  {#IMG_1440} :	GRPRT_img1441_PRT  {#IMG_1441} :	GRPRT_img1460_PRT  {#IMG_1460} :	GRPRT_img1463_PRT  {#IMG_1463} :	GRPRT_img1500_PRT  {#IMG_1500} :	GRPRT_img1525_PRT  {#IMG_1525} :	GRPRT_img1610_PRT  {#IMG_1610} :	GRPRT_img1710_PRT  {#IMG_1710} :	GRPRT_img1811_PRT  {#IMG_1811} :	GRPRT_img1930_PRT  {#IMG_1930} :	GRPRT_img1932_PRT  {#IMG_1932} :	GRPRT_img4006_PRT  {#IMG_4006} :	GRPRT_img4150_PRT  {#IMG_4150} :	GRPRT_img4220_PRT  {#IMG_4220} :	GRPRT_img4225_PRT  {#IMG_4225} :	GRPRT_img4531_PRT  {#IMG_4531} :	GRPRT_img4534_PRT  {#IMG_4534} :	GRPRT_img4537_PRT  {#IMG_4537} :	GRPRT_img4538_PRT  {#IMG_4538} :	GRPRT_img5600_PRT  {#IMG_5600} :	GRPRT_img5631_PRT  {#IMG_5631} :	GRPRT_img5660_PRT  {#IMG_5660} :	GRPRT_img5700_PRT  {#IMG_5700} :	GRPRT_img5814_PRT  {#IMG_5814} :	GRPRT_img5831_PRT  {#IMG_5831} :	GRPRT_img5833_PRT  {#IMG_5833} :	GRPRT_img5836_PRT  {#IMG_5836} :	GRPRT_img5971_PRT  {#IMG_5971} :	GRPRT_img5972_PRT  {#IMG_5972} :	GRPRT_img8031_PRT  {#IMG_8031} :	GRPRT_img8080_PRT  {#IMG_8080} :	GRPRT_img8179_PRT  {#IMG_8179} :	GRPRT_img8180_PRT  {#IMG_8180} :	GRPRT_img8186_PRT  {#IMG_8186} :	GRPRT_img8200_PRT  {#IMG_8200} :	GRPRT_img8370_PRT  {#IMG_8370} :	GRPRT_img8475_PRT  {#IMG_8475} :	GRPRT_img9050_PRT  {#IMG_9050} :	GRPRT_img9230_PRT  {#IMG_9230} :	GRPRT_img9600_PRT  {#IMG_9600} :	GRPRT_img9622_PRT  {#IMG_9622} :	GRPRT_img9902_PRT  {#IMG_9902} :	GRPRT_img9910_PRT  {#IMG_9910} :
N501	21BAE935-9A62-E611-8111-125BDAFF1DF1	0	0	-2	-1	0	3	3	3	3	2	-1	3	3	3	0	1	-2	-2	-2	-2	1	1	1	1	2	2	2	2	3	2	3	2	2	1	2	-1	0	1	1	0	0	0	-2	-2	-2	1	-2	-2
N501	9032FC3B-9A62-E611-8111-125BDAFF1DF1	1	0	-3	0	2	3	3	3	3	2	-1	2	3	2	-1	1	0	0	0	0	2	2	1	1	2	1	1	1	1	2	3	1	0	0	1	0	2	1	3	1	2	1	-3	0	-2	-3	-3	-3
N501	CB32FC3B-9A62-E611-8111-125BDAFF1DF1	-3	-2	-2	-2	-2	2	2	2	3	2	-2	2	3	-2	-2	-2	0	0	-1	-1	2	0	0	2	0	0	0	0	0	2	0	0	-2	0	0	-1	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2
N501	EC32FC3B-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	2	-2	2	3	0	-3	-3	0	0	0	0	0	0	1	3	2	2	2	1	1	1	2	0	-3	-2	0	0	0	1	0	0	0	0	-3	-2	-3	-3	-3	-3
N501	7932FC3B-9A62-E611-8111-125BDAFF1DF1	-3	-3	-2	-1	1	3	3	3	3	3	-3	3	3	2	-2	-3	1	1	2	2	2	0	3	3	3	3	3	2	3	3	3	2	1	-1	0	0	3	2	0	3	3	-1	-3	-2	-3	-2	-3	-3
N501	E5ADEF29-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-2	3	3	3	3	-1	-3	3	2	-3	-3	-3	-2	-1	1	-2	2	3	1	1	2	3	0	0	0	3	2	2	-2	-1	2	0	-2	-1	0	0	-2	0	-1	-2	-3	-2	-3	-3
N501	D4FEFD41-9A62-E611-8111-125BDAFF1DF1	-1	-2	-3	-2	-3	3	3	3	3	3	-3	3	3	2	-2	-1	-1	-1	-1	-2	2	2	1	1	3	3	2	2	3	3	3	3	-1	-2	2	2	-2	-1	1	2	2	-2	-3	-2	-3	-1	-3	-3
N501	003F314E-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	1	-3	3	2	0	-3	-3	-3	-3	0	-3	-1	0	2	2	3	3	3	-2	1	3	3	3	1	0	2	0	1	0	1	2	2	-3	-3	-3	-3	-3	-3	-3
N501	1C343460-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-1	3	3	3	3	0	-3	0	3	1	-1	-1	-2	-1	-3	-2	0	-2	-1	-2	3	3	3	3	3	3	3	1	1	0	2	3	2	0	1	2	2	3	-3	1	-3	-3	-3	-3
N501	40F03B72-9A62-E611-8111-125BDAFF1DF1	-2	-3	-3	-1	0	3	3	3	3	3	-1	3	3	0	-3	0	-3	-1	-2	-3	-2	-1	-2	-3	3	3	3	3	0	0	0	2	0	0	0	0	0	0	0	-1	0	-2	-2	-3	-3	-3	-3	-3
N501	407D4278-9A62-E611-8111-125BDAFF1DF1	-2	0	-3	-1	0	0	0	3	3	3	0	0	3	2	3	-1	3	3	3	3	3	2	3	3	1	0	0	0	0	3	3	1	0	0	0	3	3	3	3	1	0	0	0	0	-3	-3	0	0
N501	32F03B72-9A62-E611-8111-125BDAFF1DF1	-1	-1	-1	-1	-1	1	1	2	3	1	-1	1	2	1	-1	-1	0	0	0	0	0	0	0	0	1	1	1	2	2	2	1	1	-1	-1	0	0	-1	0	0	0	0	0	0	1	-1	-1	-1	-1
N501	5D7D4278-9A62-E611-8111-125BDAFF1DF1	-2	-3	2	2	-2	3	3	3	3	3	2	3	3	3	3	2	-1	-2	-3	1	-1	3	-1	-2	3	3	3	3	2	3	3	3	-2	-3	2	2	3	3	3	1	2	-3	0	-1	-2	-3	-2	-1
N501	575B5484-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-1	3	3	3	3	3	3	-3	3	3	1	-3	-3	-3	-3	-3	0	0	-3	0	0	2	3	3	0	3	3	3	3	-3	-3	0	0	-3	-3	-3	3	3	-3	-3	-3	-3	-3	-3	-3
N501	9BC1B39C-9A62-E611-8111-125BDAFF1DF1	-1	1	-3	-2	1	3	3	3	0	2	-2	1	3	1	-2	-2	-1	2	1	0	-1	0	-3	-2	3	2	1	3	0	1	2	1	0	-3	2	1	0	1	0	0	3	-3	-1	-2	-3	-1	-3	-3
N501	A1B9B696-9A62-E611-8111-125BDAFF1DF1	-3	-2	-2	-2	-1	2	3	-1	-1	2	-3	3	3	1	-1	-2	-2	-2	-1	-2	0	-2	-2	-1	1	2	2	0	1	3	2	3	-2	-2	1	-1	-1	-1	-1	0	1	-1	-2	-2	-3	0	-3	-3
N501	5CB9B696-9A62-E611-8111-125BDAFF1DF1	-3	-3	1	1	0	3	3	3	3	3	-1	3	3	3	-3	-3	0	0	0	0	0	0	2	0	3	3	3	3	3	3	3	3	-3	-2	2	2	0	3	0	3	3	-2	-3	-3	-3	-3	-3	-3
N501	4F72ABA8-9A62-E611-8111-125BDAFF1DF1	-2	-2	-3	-3	-2	2	2	2	2	3	-3	0	2	-3	-2	-3	0	0	0	0	1	0	1	1	3	2	3	2	1	2	1	1	1	1	1	1	1	0	2	0	2	0	-2	-2	-1	-3	-3	-3
N501	DB83A5B4-9A62-E611-8111-125BDAFF1DF1	2	2	1	0	2	3	3	3	3	1	0	3	2	2	0	1	-3	-2	-3	-3	3	2	3	1	2	1	2	2	2	2	1	2	2	-1	-2	-1	2	1	0	0	1	-1	-1	0	2	0	0	-1
N501	0B84A5B4-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	2	3	2	3	2	-3	3	3	-1	-2	-3	-2	-2	-1	-2	1	2	1	1	2	3	2	2	-1	2	3	0	-2	-1	2	2	1	1	1	1	1	-1	-3	-3	-3	-3	-3	-3
N501	EDEEA4BA-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-1	-1	3	2	3	3	1	-2	3	3	2	-2	-1	-1	-1	2	-2	2	1	1	-1	3	1	3	2	2	3	2	0	-2	1	1	1	0	-2	-1	2	1	0	-3	-2	-1	-3	-2	-3
N501	5B75B4C6-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	0	0	0	-3	0	-3	0	2	-3	-3	-3	-3	0	0	0	0	0	0	3	0	0	0	-3	0	3	3	-1	-3	-3	0	0	0	0	0	0	0	-3	-3	-3	-3	-2	-3	-3
N501	72BCA6C0-9A62-E611-8111-125BDAFF1DF1	-3	-3	-1	-3	0	3	3	3	3	3	-3	3	3	3	-3	-3	-3	-3	0	-3	3	2	2	2	3	2	3	3	3	3	3	3	3	3	2	2	3	3	0	3	3	0	-3	3	-3	-3	0	0
N501	680CD7D2-9A62-E611-8111-125BDAFF1DF1	-1	0	-3	-3	1	1	3	2	-2	3	-3	1	1	1	1	1	1	0	1	3	0	0	-3	0	2	2	2	1	2	2	1	0	0	2	2	1	1	1	0	1	3	0	-1	-1	0	-1	-1	-1
N501	AC5FCFF0-9A62-E611-8111-125BDAFF1DF1	0	-3	-3	-3	3	3	3	3	3	3	-3	3	3	0	-1	0	-3	-3	-3	-3	1	-1	3	3	3	3	1	2	3	3	3	3	-1	-3	0	3	0	1	-1	3	1	-2	-1	-1	-1	-1	-2	-2
N501	91FBD2FC-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-2	3	3	-3	0	3	-3	3	3	-2	-3	-3	-2	0	-2	0	3	3	2	2	3	3	3	3	3	3	3	1	-3	-2	2	2	0	0	0	0	0	0	-3	-3	-3	-3	-3	-3
N501	AF4FE40E-9B62-E611-8111-125BDAFF1DF1	-3	-2	-3	-3	0	1	3	1	2	2	-3	1	2	1	-1	-1	-3	-2	-1	-2	1	0	0	0	1	1	0	2	1	3	2	3	0	1	1	2	0	0	1	0	3	1	-3	2	-3	-2	-3	-3
N501	AF4BEA1A-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	-3	-3	-3	-3	-3	2	-3	2	2	1	2	3	3	2	3	0	3	2	3	-2	-1	3	0	-3	-3	2	-1	-1	-3	-3	1	-3	-3	-3	-3
N501	3054E720-9B62-E611-8111-125BDAFF1DF1	-1	-3	-3	-3	-1	3	3	3	3	2	-3	3	3	0	-3	-3	-2	-1	0	0	-1	1	-1	-2	3	3	2	1	2	2	2	1	-1	-1	0	0	-3	1	0	0	-1	0	-3	-3	-3	-2	-3	-3
N501	7554E720-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-2	3	3	3	3	0	-3	3	3	3	1	2	-1	-2	-2	-3	1	3	0	-2	3	3	3	3	3	3	3	1	1	2	3	3	1	2	2	1	2	-3	-1	1	1	-1	-1	-3
N501	151DE614-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	1	3	3	3	2	-3	3	2	-2	-3	-3	0	0	0	0	-3	-3	-3	-3	3	3	3	3	-3	3	3	3	-3	-3	3	-3	2	-3	2	2	2	-3	-3	-3	-3	-3	-3	-3
N501	63403A3F-9B62-E611-8111-125BDAFF1DF1	-2	0	-3	-2	-3	2	3	3	3	0	-3	3	2	-1	0	0	-3	-2	0	0	0	-3	0	-1	3	3	3	3	3	-1	1	2	0	2	1	-1	0	0	0	-1	0	-2	-2	-1	0	2	-2	-2
N501	886C3E45-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	2	-1	-2	2	0	-3	3	2	0	-3	-3	-1	0	0	-2	-1	1	-1	1	0	1	0	0	1	2	2	0	-3	-3	0	0	-3	-3	0	0	0	-2	-3	-3	-3	-3	-3	-3
N501	1554E720-9B62-E611-8111-125BDAFF1DF1	-2	-3	-2	-2	1	3	3	2	3	3	-3	3	2	1	-2	-3	1	1	2	2	2	3	1	3	2	3	1	3	-1	3	2	-1	-2	-3	-2	1	2	3	1	3	3	-1	-3	-3	-3	3	-3	-3
N501	B6163651-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-2	-3	1	3	2	3	3	-3	1	3	1	-3	-3	-3	-1	0	0	0	1	1	1	1	3	1	-1	3	3	3	2	-3	-3	0	1	1	0	0	0	1	0	-3	-2	-3	-3	-3	-3
N501	FF9E648D-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	2	-3	3	3	1	-3	-3	0	1	1	0	3	1	2	3	3	3	2	1	3	3	3	2	-3	0	2	2	-1	1	1	2	2	1	-1	-2	-3	-3	-3	-3
N501	4A47BCC3-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	-2	-2	2	-3	3	3	1	-3	-3	-3	-3	-3	-3	3	1	3	1	2	3	1	3	-1	3	2	0	-3	-2	1	2	2	-1	1	1	1	-2	2	-1	-2	-2	-2	-1
N501	A1A7C1D5-9B62-E611-8111-125BDAFF1DF1	-2	-2	-1	0	-2	1	1	1	1	1	-2	1	1	0	-3	-3	-1	1	1	-1	0	0	0	0	2	2	3	1	-1	0	3	1	-2	-1	1	1	0	0	1	0	1	0	-2	0	-1	-3	-2	-2
N501	CFBAB8E7-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	0	-3	-3	3	3	-3	-3	3	-3	3	0	0	0	-3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	0	3	-3	-3	3	-1	-3	-3	-3
N501	B92AD1F9-9B62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	-3	2	0	0	3	-3	-2	-3	0	-2	-3	-3	3	3	3	3	0	3	3	3	3	3	3	3	0	0	-3	-3	3	3	3	3	3	-3	-3	-3	0	-3	-3	-3
N501	4FCA0606-9C62-E611-8111-125BDAFF1DF1	-3	-3	-2	-1	-2	1	2	2	2	-1	-2	1	1	-1	-2	-3	-3	-1	-1	-2	0	-1	-1	-1	2	2	1	0	1	1	1	1	-2	-2	0	0	0	0	0	0	-1	0	-2	-1	-2	-2	-2	-2
N501	E8C90606-9C62-E611-8111-125BDAFF1DF1	-1	-2	0	0	0	2	1	2	1	1	0	1	2	1	-1	-1	3	3	3	3	0	0	0	0	1	2	2	1	1	2	2	1	-3	-1	0	0	0	0	0	0	1	-1	-2	1	-3	-3	-3	-3
N501	E344190C-9C62-E611-8111-125BDAFF1DF1	1	0	-1	0	1	3	3	2	2	0	-1	2	3	-1	0	0	1	1	3	2	-1	-3	-1	-2	2	0	1	1	1	1	0	0	0	2	2	0	0	0	1	1	1	-3	1	0	0	1	-1	0
N501	61481612-9C62-E611-8111-125BDAFF1DF1	-3	-3	-3	-2	1	0	1	1	1	1	-1	0	2	2	1	-1	3	2	3	3	0	0	-1	0	3	1	3	2	1	1	1	2	-1	-1	1	0	-1	1	1	1	1	1	-3	-2	-1	-2	-2	-3
N501	A1B1BEF3-9B62-E611-8111-125BDAFF1DF1	1	1	-3	0	2	3	3	3	3	2	-3	0	3	1	0	1	3	1	3	3	0	0	-1	0	2	2	3	0	3	2	1	1	-1	0	3	0	1	2	-1	1	2	-1	-3	-2	0	-2	-2	-3
N501	303F542A-9C62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	3	-3	-3	-3	0	-3	-3	3	3	3	0	3	3	3	3	3	3	3	3	0	-3	3	3	0	3	3	3	3	3	-3	0	-3	3	-3	-3
N501	5B637748-9C62-E611-8111-125BDAFF1DF1	-3	-3	-2	-2	0	2	3	2	-1	2	-3	3	2	-2	-3	-3	0	3	3	3	-1	-2	-2	-2	0	1	1	0	-2	2	1	-1	-2	-3	1	2	0	2	1	-2	1	-1	-3	-3	-3	-3	-3	-3
N501	6DD58966-9C62-E611-8111-125BDAFF1DF1	-3	-3	-1	0	-1	2	3	3	3	3	0	2	3	1	-3	-3	3	3	3	3	-3	-3	-3	-3	3	3	3	3	1	3	3	2	0	-3	0	1	-3	1	0	1	0	-1	2	-1	-1	0	0	-1
N501	179E8B6C-9C62-E611-8111-125BDAFF1DF1	-3	-3	-2	-2	-2	1	2	2	0	2	-2	2	2	1	-3	-3	3	3	3	3	0	0	0	0	1	2	1	1	1	1	2	1	-2	-2	2	-1	-1	-1	-1	0	1	-2	-3	-2	-3	-2	-3	-2
N501	1BC3CA90-9C62-E611-8111-125BDAFF1DF1	-1	-2	-1	-1	-2	1	1	3	1	2	-2	1	2	0	-2	-2	3	3	3	3	2	0	-1	0	1	2	2	1	2	2	2	1	-1	-2	1	0	1	1	2	2	2	0	-2	-1	-2	-1	-3	-2
N501	53F1CB9C-9C62-E611-8111-125BDAFF1DF1	-3	-1	-2	-3	-1	1	1	3	3	-2	-2	-3	3	-3	-3	-3	3	3	3	3	-3	-2	-3	-2	1	1	3	3	3	1	-1	1	1	2	-3	-2	1	1	-2	-1	-1	1	-3	-3	-2	-3	1	3
N501	CC7F07CD-9C62-E611-8111-125BDAFF1DF1	1	-1	-3	-3	0	3	3	3	3	3	1	3	3	3	0	3	0	0	0	0	3	0	3	3	3	3	3	3	3	3	3	3	3	0	1	0	0	3	-1	2	3	0	-3	3	0	3	-1	0
N501	5DE525D3-9C62-E611-8111-125BDAFF1DF1	-2	1	-3	-2	-2	2	2	0	-2	2	-3	2	1	-1	-1	-1	0	-1	1	1	-3	-3	-2	-3	3	2	3	3	3	2	1	1	1	1	0	0	1	0	0	0	0	-2	-1	0	1	-1	0	-2
N501	66E525D3-9C62-E611-8111-125BDAFF1DF1	-3	-3	-3	-2	-2	3	3	3	3	2	-3	2	3	-1	-3	-2	-3	-3	0	-3	1	3	1	1	3	3	3	3	3	3	3	3	-3	-3	1	2	3	1	2	2	2	-3	-3	-3	-3	0	-3	-3
N501	F1AE6942-9C62-E611-8111-125BDAFF1DF1	1	1	-1	-1	2	1	2	2	3	1	-1	2	3	3	2	1	2	3	2	2	-1	-1	-1	-1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	2	1	2	2	-1	-1	-1	-1	1	-2
N501	E8284FFD-9C62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	2	2	0	-3	2	-3	2	3	-3	-3	-3	0	-3	-3	-3	0	3	-3	0	2	3	3	2	0	1	3	2	-3	-3	2	-3	2	0	1	0	2	-3	-3	-3	-3	-3	-3	-3
N501	A1A14E03-9D62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	2	2	2	2	2	-3	2	3	1	-3	-3	0	1	1	1	2	2	-2	0	2	3	2	-2	-3	2	3	3	-3	-3	2	2	-2	2	1	2	2	-3	-3	-3	-3	-2	-3	-3
N501	61647751-9D62-E611-8111-125BDAFF1DF1	-2	-2	-1	-1	-1	3	1	1	1	2	-2	1	3	2	-1	-2	0	1	1	1	1	-1	1	1	2	2	2	1	3	2	2	1	0	1	2	1	1	1	1	1	1	1	1	-1	1	1	-1	-1
N501	E11D6175-9D62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	0	0	0	3	3	-3	3	3	0	-2	-3	3	3	3	3	0	-3	0	0	3	3	3	3	-3	3	3	3	-3	-3	3	3	-3	3	0	0	3	0	-3	3	-3	-3	-3	-3
N501	0BCDA9CF-9D62-E611-8111-125BDAFF1DF1	-3	-3	-3	0	0	-3	2	-1	-1	0	-1	0	0	1	-3	-3	3	2	3	3	-3	-3	-3	-3	1	1	1	0	2	2	0	0	-3	-3	0	-3	-3	-1	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3
N501	2435AFE1-9D62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	3	3	3	3	3	3	-3	3	3	3	1	-3	3	3	3	3	-3	-3	-3	-3	3	3	3	3	3	3	3	0	2	2	3	2	3	3	3	1	1	2	-3	2	-2	-2	-3	-2
N501	207D01EE-9D62-E611-8111-125BDAFF1DF1	2	1	1	2	0	0	0	1	0	-1	1	0	0	0	-1	1	0	0	1	-1	0	-1	1	1	-1	1	1	0	0	2	1	1	2	2	1	1	0	1	0	1	0	0	1	-1	1	-1	1	1
N501	828D1AFA-9D62-E611-8111-125BDAFF1DF1	0	0	-3	0	0	3	3	3	3	2	-3	3	3	2	0	0	2	2	2	2	0	0	0	1	2	0	2	2	2	3	3	2	0	-1	3	2	2	2	2	1	2	0	0	-2	0	-1	-3	-3
N501	8553F77E-9E62-E611-8111-125BDAFF1DF1	3	3	3	3	0	3	3	3	3	3	0	3	3	-1	0	0	0	1	2	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	1	2	2	3	0	1	3	0	-3	0	-2	-2	-3	-3
N501	41A743AF-9E62-E611-8111-125BDAFF1DF1	0	0	3	0	-3	3	3	3	3	3	-3	3	3	3	-3	0	3	3	3	3	0	3	0	0	3	3	3	3	3	3	3	0	0	0	3	0	3	3	3	3	0	3	0	0	0	0	0	-3
N501	DC948DC7-9E62-E611-8111-125BDAFF1DF1	0	0	1	1	1	3	1	0	1	2	0	-1	3	0	0	1	3	3	3	3	-3	-3	-2	-2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0
N501	140E84DF-9E62-E611-8111-125BDAFF1DF1	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	3	3	3	3	-3	-3	-3	-3	0	-3	0	0	0	0	0	0	0	0	0	-3	0	0	0	-3	0	-3	0	0	0	0	0	0
N501	A6319103-9F62-E611-8111-125BDAFF1DF1	-3	-3	-2	-2	-3	3	3	3	3	3	-3	3	3	2	-3	-3	3	3	2	3	3	0	0	0	0	0	0	0	0	3	3	3	0	-3	0	2	-3	-3	0	3	2	0	-3	-3	-3	-3	-3	-3
N501	F951D61B-9F62-E611-8111-125BDAFF1DF1	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	-1	1	2	0	3	2	-2	-3	-3	-3	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	2	-1	0	1	0
N501	8340524C-9F62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	3	-3	-3	3	3	3	3	0	0	0	0	3	3	3	3	3	3	3	3	-3	-3	3	0	0	0	0	3	3	0	-3	-3	-3	-3	-3	-3
N501	878F4276-9F62-E611-8111-125BDAFF1DF1	3	3	3	1	1	3	2	3	3	2	-1	3	3	3	1	3	2	3	3	3	0	0	0	0	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	1	2	1	0	3	-1	0	2	1
N501	399DAE4F-A062-E611-8111-125BDAFF1DF1	-1	-3	-3	-3	-3	2	1	2	2	3	-3	2	2	-3	-3	-3	3	3	3	3	-2	-3	-2	-3	3	2	3	3	3	2	3	1	-3	-3	2	1	2	1	2	-1	3	-2	-3	-3	-3	-3	-3	-3
N501	D13668B6-A062-E611-8111-125BDAFF1DF1	-2	-2	-1	-1	-1	1	1	1	1	1	-1	1	1	-1	-2	-2	1	1	1	1	-1	-1	-2	-2	0	0	-1	-1	0	1	0	-1	-1	-1	-1	-1	-2	0	-1	-1	0	-1	-2	-1	-1	-1	-2	-1
N501	84AF9D65-A162-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	2	-3	-3	3	3	3	3	1	-1	0	1	3	2	3	1	2	2	3	3	-2	-3	2	1	-1	2	0	0	3	-1	-3	-3	-3	-3	-3	-3
N501	E22F07A5-A262-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	0	2	2	3	3	3	-3	3	3	2	-3	-2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	3	3	0	3	3	3	3	-3	-3	-3	-3	-3	-3	-3
N501	6DD126B7-A262-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	0	-3	-3	3	3	3	3	-3	-2	-3	-3	3	3	3	3	3	3	3	3	-3	-3	3	0	-1	0	0	1	0	0	-3	-3	-3	-3	-3	-3
N501	94FE30C9-A262-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	-3	-3	-3	3	-3	3	3	-3	-3	-3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
N501	A76930CF-A262-E611-8111-125BDAFF1DF1	-3	-3	-3	0	1	1	2	1	1	1	0	0	1	0	1	1	3	3	2	3	-3	-3	-3	-3	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	-3	-3	-3	-3	-3	-3	-3
N501	E025A705-A362-E611-8111-125BDAFF1DF1	-3	-3	-3	-2	-3	3	3	3	3	3	-3	3	3	3	-3	1	3	3	3	3	-3	-3	-3	-3	3	3	3	3	-3	3	3	3	-3	-2	3	3	3	3	3	-3	3	3	-3	-3	-3	-3	-3	-3
N501	AA2C6448-A362-E611-8111-125BDAFF1DF1	-1	-2	-1	-1	-3	3	1	2	3	1	-1	3	2	1	-3	-3	3	3	3	3	0	0	-1	0	2	2	2	0	0	1	1	2	-3	0	1	0	1	-2	1	1	0	-1	-2	-2	-3	-3	-3	-3
N501	B052DCF7-A362-E611-8111-125BDAFF1DF1	-2	-2	-3	-1	1	2	1	3	2	2	-3	2	2	0	-1	0	-1	1	2	1	-2	-2	-3	-2	3	3	3	1	3	3	2	3	-1	-2	1	2	2	3	1	1	1	1	-3	-1	-3	-3	-3	-3
N501	163DD861-A562-E611-8111-125BDAFF1DF1	0	0	0	0	0	3	3	3	3	3	0	3	3	3	0	0	0	0	0	0	-3	-3	-3	-3	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	-3	0	0	0	-2	0	0	-3	-3
N501	DC15086A-A662-E611-8111-125BDAFF1DF1	3	3	3	3	3	3	3	3	-1	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	-3	1	0	0
N501	286DE2FA-A662-E611-8111-125BDAFF1DF1	0	0	-3	-3	-3	3	3	3	3	2	-3	0	3	0	-3	-3	3	3	3	3	0	0	1	0	3	3	3	3	-1	3	0	1	-1	0	2	3	1	2	3	3	-3	-2	-3	-2	-3	-3	-2	-3
N501	400CBC73-A762-E611-8111-125BDAFF1DF1	-1	-3	0	0	2	-3	2	3	0	-1	-3	0	-1	1	1	3	3	1	3	3	-3	-2	-3	-3	3	3	3	3	1	2	-1	0	0	0	-1	0	-1	-1	1	-1	0	-1	1	-1	1	2	0	0
N501	6CC216A4-A762-E611-8111-125BDAFF1DF1	-3	-3	-2	-3	1	3	1	3	1	2	-1	2	3	0	-2	-3	3	3	3	3	-3	-3	-3	-3	2	2	1	0	1	3	2	0	-3	-3	1	0	0	0	-1	-2	1	0	-3	-3	-3	-3	-3	-3
N501	F962E9AE-A862-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	0	-3	-3	3	3	3	3	-3	-3	-3	-3	3	3	3	3	3	0	3	0	-3	-3	0	0	-3	0	0	0	0	-3	-3	-3	-3	-3	-3	-3
N501	ED9D38D9-A862-E611-8111-125BDAFF1DF1	-3	-3	-3	3	1	3	3	3	3	3	-3	3	3	2	-1	0	-1	-1	0	-1	0	0	0	0	1	1	-1	0	2	1	2	1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	-1	-1
